box_office_gross,budget,opening_weekend_gross,plot_description,rating,title
,,,,8.7,Stranger Things
"$150,000,000 (estimated)","$150,000,000 (estimated)","$32,753,122",,8.0,Blade Runner 2049
,,,,9.2,Game of Thrones
,,,,7.8,Slow Horses
,,,,9.3,The Wire
,,,,7.5,Under the Banner of Heaven
,,,,8.9,True Detective
"$20,092,001",,"$7,131,703",,7.4,The Unbearable Weight of Massive Talent
,,,,8.8,One Piece
,,,,8.7,The Simpsons
,,,,9.2,The Sopranos
"$90,000,000 (estimated)","$90,000,000 (estimated)","$41,082,018",,7.6,Once Upon a Time... In Hollywood
,,,,7.9,The Staircase
,,,,7.5,Tehran
"$250,000,000 (estimated)","$250,000,000 (estimated)","$90,151,958",,6.6,Pirates of the Caribbean: On Stranger Tides
"$120,000,000 (estimated)","$120,000,000 (estimated)","$28,365,416",,7.1,Free Guy
"$15,000,000 (estimated)","$15,000,000 (estimated)","$531,346",,7.5,Field of Dreams
"$11,000,000 (estimated)","$11,000,000 (estimated)","$1,554,475",,8.6,Star Wars
"$200,000,000 (estimated)","$200,000,000 (estimated)",,,,Killers of the Flower Moon
,,,,8.1,Only Murders in the Building
,,,,8.2,Money Heist
"$30,000,000 (estimated)","$30,000,000 (estimated)","$13,578,151",,7.8,Ghostbusters
"$185,000,000 (estimated)","$185,000,000 (estimated)","$26,205,415",,7.2,The Suicide Squad
"$791,863",,,,7.2,Don't Look Up
,,,,8.7,The Marvelous Mrs. Maisel
,,,,8.1,Orange Is the New Black
,,,,8.6,Parks and Recreation
,,,,8.5,Schitt's Creek
